ID;EAN;Código Interno;Código IMendes;Status;Descrição;NCM;CEST;% IPI;CST IPI;CST Pis/Cofins Ent.;CST Pis/Cofins Sai.;Nat. Rec. Isenta Pis/Cofins;Lista;Tipo;% PIS;% COFINS;CFOP Compra;CFOP Venda;CST;CSOSN;Mod. BC.;% ICMS;% ICMS PDV;Simb. PDV;% Red. BC ICMS;% Red. BC ICMS ST;Mod. BC ST;% ICMS ST;IVA;Pauta ST;% FCP;Antecipado;% Desoneração;% Diferimento;Cód. ANP;Cód.Benefício;Data Alteração;Data Revisão;Data Último Consumo;Valor Venda
5955;7891095011599;7891095011599;;F;BATATA PALHA YOKI  EXTFINA 100G;20052000;17.032.00;0;;50;01;;;;1,65;7,6;1403;5405;060;;3;18;0;F;0;0;4;18;47,76;0;0;N;0;33,33;;;10/11/2020;10/11/2020;10/11/2020;
5999;7891095027781;7891095027781;;F;BATATA PALHA YOKI  EXTFINA 100G;20052000;17.032.00;0;;50;01;;;;1,65;7,6;1403;5405;060;;3;18;0;F;0;0;4;18;47,76;0;0;N;0;33,33;;;10/11/2020;10/11/2020;10/11/2020;
6014;7891095031122;7891095031122;;F;BATATA PALHA YOKI  EXTFINA 100G;20052000;17.032.00;0;;50;01;;;;1,65;7,6;1403;5405;060;;3;18;0;F;0;0;4;18;47,76;0;0;N;0;33,33;;;10/11/2020;10/11/2020;10/11/2020;
17606;57891095011594;57891095011594;;F;BATATA PALHA YOKI  EXTFINA 100G;20052000;17.032.00;0;;50;01;;;;1,65;7,6;1403;5405;060;;3;18;0;F;0;0;4;18;47,76;0;0;N;0;33,33;;;10/11/2020;10/11/2020;10/11/2020;
6015;7891095031139;7891095031139;;F;BATATA PALHA YOKI 70 G;20052000;17.032.00;0;;50;01;;;;1,65;7,6;1403;5405;060;;3;18;0;F;0;0;4;18;47,76;0;0;N;0;33,33;;;10/11/2020;10/11/2020;10/11/2020;
5997;7891095023882;7891095023882;;F;BATATA PALHA YOKI MAND  EXT FINA 100G;20059900;17.092.00;0;;50;01;;;;1,65;7,6;1102;5102;000;;3;18;18;T;0;0;;0;0;0;0;N;0;0;;;10/11/2020;10/11/2020;10/11/2020;
6013;7891095031115;7891095031115;;F;BATATA PALHA YOKI TRAD 105G;20052000;17.032.00;0;;50;01;;;;1,65;7,6;1403;5405;060;;3;18;0;F;0;0;4;18;47,76;0;0;N;0;33,33;;;10/11/2020;10/11/2020;10/11/2020;
5949;7891095008919;7891095008919;;F;BATATA PALHA YOKI TRAD 120 G;20052000;17.032.00;0;;50;01;;;;1,65;7,6;1403;5405;060;;3;18;0;F;0;0;4;18;47,76;0;0;N;0;33,33;;;10/11/2020;10/11/2020;10/11/2020;
6012;7891095030736;7891095030736;;F;BATATA PALHA YOKI TRAD 120 G;20052000;17.032.00;0;;50;01;;;;1,65;7,6;1403;5405;060;;3;18;0;F;0;0;4;18;47,76;0;0;N;0;33,33;;;10/11/2020;10/11/2020;10/11/2020;
7040;7891164026240;7891164026240;;F;BATATA PALITO AURORA 400G;20041000;17.091.00;0;;50;01;;;;1,65;7,6;1102;5102;000;;3;18;18;T;0;0;;0;0;0;0;N;0;0;;;10/11/2020;10/11/2020;10/11/2020;
